dt_iso,temp,temp_min,temp_max,pressure,humidity,wind_speed,wind_deg,clouds_all
2017-01-05 21:00:00 +0000 UTC,24.56,21.24,25.05,1013,91,2.83,290,98
2017-01-05 22:00:00 +0000 UTC,23.8,20.74,24.46,1013,85,2.53,245,95
2017-01-05 23:00:00 +0000 UTC,22.92,20.84,23.55,1014,88,2.35,251,100
2017-01-06 00:00:00 +0000 UTC,23.03,20.34,23.53,1015,86,1.54,246,100
2017-01-06 01:00:00 +0000 UTC,22.97,20.84,23.45,1015,86,1.33,222,99
2017-01-06 02:00:00 +0000 UTC,22.9,22.26,23.48,1015,85,1.33,186,100
2017-01-06 03:00:00 +0000 UTC,22.13,20.34,22.59,1014,92,1.17,152,100
2017-01-06 04:00:00 +0000 UTC,21.39,20.34,21.79,1014,93,1.29,113,100
2017-01-06 05:00:00 +0000 UTC,21.08,19.96,21.47,1014,94,0.59,354,100
2017-01-06 06:00:00 +0000 UTC,21.39,19.76,21.69,1014,94,0.91,319,99
2017-01-06 07:00:00 +0000 UTC,21.39,19.46,21.57,1014,94,1.18,332,100
2017-01-06 08:00:00 +0000 UTC,21.02,19.46,21.24,1014,94,1.51,336,92
2017-01-06 09:00:00 +0000 UTC,21.44,19.26,21.75,1014,98,1.06,331,98
2017-01-06 10:00:00 +0000 UTC,24.14,21.26,24.45,1015,78,0.24,73,98
2017-01-06 11:00:00 +0000 UTC,24.88,22.86,25.21,1015,75,0.7,28,100
2017-01-06 12:00:00 +0000 UTC,25.88,25.56,26.07,1016,72,1.3,319,98
2017-01-06 13:00:00 +0000 UTC,26.43,26,27.76,1016,76,1.93,301,98
2017-01-06 14:00:00 +0000 UTC,26.97,26.66,27.35,1015,76,2.05,300,90
2017-01-06 15:00:00 +0000 UTC,30.14,27.34,30.65,1015,61,1.7,298,100
2017-01-06 16:00:00 +0000 UTC,28.89,27.99,29.68,1014,63,1.62,252,100
2017-01-06 17:00:00 +0000 UTC,27.94,27.51,28.76,1015,72,1.24,240,100
2017-01-06 18:00:00 +0000 UTC,26.16,25.46,26.55,1015,79,1.25,165,100
2017-01-06 19:00:00 +0000 UTC,26.14,25.8,26.73,1015,77,1.65,144,100
2017-01-06 20:00:00 +0000 UTC,25.72,25.37,26.11,1014,75,1.33,123,100
2017-01-06 21:00:00 +0000 UTC,23.66,20.34,24.09,1014,87,1.66,131,100
2017-01-06 22:00:00 +0000 UTC,21.86,21.14,22.25,1015,95,1.53,166,100
2017-01-06 23:00:00 +0000 UTC,21.53,20.84,21.9,1016,94,1.54,158,99
2017-01-07 00:00:00 +0000 UTC,21.59,20.84,22.03,1016,93,2.48,136,99
2017-01-07 01:00:00 +0000 UTC,21.37,21.14,21.43,1016,92,2.79,128,94
2017-01-07 02:00:00 +0000 UTC,21.4,21.14,21.48,1017,92,2.62,131,98
2017-01-07 03:00:00 +0000 UTC,20.88,20.8,21.14,1016,97,2.82,130,96
2017-01-07 04:00:00 +0000 UTC,20.53,20.24,21.14,1015,97,2.63,123,93
2017-01-07 05:00:00 +0000 UTC,20.62,20.34,21.19,1015,96,2.57,112,81
2017-01-07 06:00:00 +0000 UTC,20.69,20.41,21.25,1015,95,2.21,110,82
2017-01-07 07:00:00 +0000 UTC,20.59,20.31,21.2,1015,96,1.81,118,83
2017-01-07 08:00:00 +0000 UTC,20.71,20.64,20.86,1015,95,1.85,130,70
2017-01-07 09:00:00 +0000 UTC,20.7,20.65,20.96,1016,95,1.82,126,95
2017-01-07 10:00:00 +0000 UTC,23.01,21.46,23.69,1016,85,2.95,104,100
2017-01-07 11:00:00 +0000 UTC,23.45,21.96,24.01,1016,84,2.1,96,95
2017-01-07 12:00:00 +0000 UTC,23.56,23.34,23.63,1016,84,1.61,84,97
2017-01-07 13:00:00 +0000 UTC,24.29,24.01,25.26,1016,82,1.34,47,75
2017-01-07 14:00:00 +0000 UTC,25.62,25.27,26.03,1016,78,0.69,18,98
2017-01-07 15:00:00 +0000 UTC,29.25,26.14,29.67,1015,59,0.49,346,92
2017-01-07 16:00:00 +0000 UTC,29.77,29.47,30.09,1014,59,0.43,250,66
2017-01-07 17:00:00 +0000 UTC,30.52,29.76,30.92,1013,57,1.61,274,43
2017-01-07 18:00:00 +0000 UTC,30.9,30.46,31.29,1012,55,1.85,232,56
2017-01-07 19:00:00 +0000 UTC,31.42,29.76,31.96,1012,51,2.11,179,83
2017-01-07 20:00:00 +0000 UTC,30.94,29.76,31.87,1012,52,2.41,130,91
2017-01-07 21:00:00 +0000 UTC,27.53,23.84,28.93,1012,72,2.32,110,88
2017-01-07 22:00:00 +0000 UTC,24.25,23.34,25.26,1013,85,2.59,99,96
2017-01-07 23:00:00 +0000 UTC,24.06,23.83,24.43,1013,85,2.72,107,99
2017-01-08 00:00:00 +0000 UTC,23.75,23.47,24.46,1014,86,2.82,109,96
2017-01-08 01:00:00 +0000 UTC,23.58,23.31,23.92,1015,87,2.63,108,98
2017-01-08 02:00:00 +0000 UTC,23.25,22.46,23.64,1015,87,2.35,108,100
2017-01-08 03:00:00 +0000 UTC,22.41,22.09,22.88,1015,95,2.14,109,99
2017-01-08 04:00:00 +0000 UTC,21.88,20.84,22.42,1014,95,1.77,113,100
2017-01-08 05:00:00 +0000 UTC,21.82,20.76,22.35,1014,95,1.44,102,100
2017-01-08 06:00:00 +0000 UTC,21.96,20.64,22.52,1013,94,1.43,85,100
2017-01-08 07:00:00 +0000 UTC,22.25,19.84,22.84,1013,92,1.22,84,100
2017-01-08 08:00:00 +0000 UTC,21.96,20.24,22.58,1013,92,1.15,71,100
2017-01-08 09:00:00 +0000 UTC,21.58,19.96,22.21,1014,94,0.95,61,100
2017-01-08 10:00:00 +0000 UTC,23.71,22.76,24.19,1014,82,1.85,56,99
